Min;Data1;Data2;Data3;Data4;Data5;Data6
13:34;28,900;37,838;38,162;233,338;168,862;141,950
13:35;28,793;37,907;38,953;233,687;224,840;227,047
13:36;28,827;37,907;38,913;233,947;224,587;227,040
13:37;28,873;37,767;39,020;234,267;224,613;227,280
13:38;28,927;37,747;39,120;234,133;224,613;226,880
13:39;28,967;37,660;39,107;234,287;224,887;226,500
13:40;29,133;37,820;39,047;234,553;225,027;226,720
13:41;29,007;37,807;39,080;234,820;224,460;227,087
13:42;29,133;37,700;39,107;234,087;223,927;227,913
13:43;28,987;37,580;39,253;233,947;223,973;228,380
13:44;29,040;37,440;39,240;233,667;223,460;228,407
13:45;29,240;37,733;39,347;231,907;224,627;228,893
13:46;29,240;37,840;42,800;231,720;224,527;227,300
13:47;28,433;38,113;51,533;232,900;224,633;222,847
13:48;28,567;37,973;51,667;232,600;224,700;223,067
13:49;28,560;38,213;51,727;233,593;225,447;223,847
13:50;28,447;40,300;55,287;235,440;224,327;222,167
13:51;28,220;40,320;56,733;236,547;223,560;219,240
13:52;28,413;38,680;57,080;235,327;222,460;217,340
13:53;28,260;38,787;56,813;235,240;221,907;217,760
13:54;28,280;38,613;54,060;234,553;222,067;219,307
13:55;25,493;38,533;50,700;235,673;221,693;221,593
13:56;24,520;38,553;51,053;235,273;222,393;223,347
13:57;24,713;38,880;50,880;236,487;220,480;223,813
13:58;25,793;38,807;50,827;235,900;220,387;224,040
13:59;28,713;38,787;51,240;234,947;221,447;224,860
14:0;29,453;39,073;51,033;234,833;221,373;224,507
14:1;29,547;38,860;49,173;233,853;220,907;224,873
14:2;29,487;38,807;48,987;233,613;221,593;224,833
14:3;36,287;44,480;54,313;232,173;219,753;223,453
14:4;41,467;48,800;59,860;232,560;218,347;219,567
14:5;47,233;54,040;65,440;231,660;216,033;219,020
14:6;38,107;48,653;60,040;234,727;217,147;220,520
14:7;37,600;48,020;60,233;233,427;219,307;220,340
14:8;40,927;50,560;63,533;231,487;219,127;221,273
14:9;43,687;52,893;65,353;231,560;218,553;219,847
14:10;45,567;52,660;65,140;230,553;218,187;218,360
14:11;46,580;52,867;65,173;230,200;219,027;218,253
14:12;46,640;53,207;64,740;230,893;220,087;218,073
14:13;46,893;54,980;64,427;231,533;215,560;217,993
14:14;46,760;54,073;64,413;231,313;216,013;218,333
14:15;46,540;53,573;64,740;231,867;217,653;218,067
14:16;43,773;53,580;64,120;234,093;216,920;218,400
14:17;43,107;53,153;64,247;234,800;218,120;217,787
14:18;42,887;53,480;64,087;234,533;218,687;216,187
14:19;43,020;53,347;63,927;233,660;218,440;216,907
14:20;44,027;52,827;63,880;232,100;216,053;217,380
14:21;46,527;52,513;64,247;229,467;217,153;217,627
14:22;46,887;52,780;64,660;229,500;218,720;219,507
14:23;49,193;52,727;64,960;227,840;219,193;219,833
14:24;50,300;52,753;63,240;227,340;219,400;221,260
14:25;50,653;52,973;62,993;227,127;219,153;220,780
14:26;50,307;52,920;62,987;227,500;219,473;220,833
14:27;50,600;52,160;55,427;224,660;219,427;225,760
14:28;48,007;52,813;54,947;227,193;220,880;227,167
14:29;46,827;52,967;54,860;227,340;221,400;226,107
14:30;47,380;52,567;55,667;227,633;221,853;226,447
14:31;51,773;57,253;63,700;227,600;225,567;227,367
14:32;50,020;58,140;64,207;227,993;225,987;226,327
14:33;49,580;59,207;64,060;229,133;226,160;225,020
14:34;52,107;60,800;64,373;228,600;226,480;224,727
14:35;57,120;60,480;67,167;226,433;227,040;226,347
14:36;59,253;60,633;68,873;226,173;227,127;227,333
14:37;61,487;60,827;69,907;224,513;227,360;228,460
14:38;56,513;60,887;68,000;225,860;226,720;227,507
14:39;50,827;62,007;69,627;229,773;224,580;227,133
14:40;37,880;50,667;53,893;232,473;225,013;227,253
14:41;24,967;38,653;38,680;234,027;222,827;228,813
14:42;25,373;37,700;36,860;232,273;222,673;230,087
14:43;25,173;37,920;36,360;233,827;222,040;230,527
14:44;25,113;38,333;36,487;234,707;222,940;230,727
14:45;26,853;38,353;38,760;234,647;223,993;229,587
14:46;28,333;38,753;50,233;234,753;224,940;223,400
14:47;28,633;38,793;50,853;234,927;225,207;222,640
14:48;28,973;38,653;50,793;234,087;224,213;222,413
14:49;28,747;38,640;50,647;235,860;224,260;221,300
14:50;24,273;38,960;50,093;238,840;222,773;220,887
14:51;24,260;39,033;50,133;238,560;222,653;220,627
14:52;24,393;38,893;50,393;237,613;222,647;220,753
14:53;24,913;38,667;50,747;236,207;221,913;222,347
14:54;25,173;38,473;47,700;235,220;221,587;223,967
14:55;25,647;38,013;38,820;232,740;222,127;230,047
14:56;25,520;37,780;38,827;233,400;223,013;230,547
14:57;25,180;37,660;38,707;233,347;224,373;229,747
14:58;27,700;37,533;37,293;230,273;223,660;230,180
14:59;30,093;39,307;37,287;228,893;223,920;230,840
15:0;29,520;37,560;37,073;229,387;224,953;229,733
15:1;29,633;37,300;39,140;229,560;224,247;227,460
15:2;27,587;37,360;39,000;230,840;223,053;227,007
15:3;25,633;37,660;38,587;232,160;221,580;226,927
15:4;25,740;37,487;38,780;232,127;221,273;227,027
15:5;25,833;37,220;38,887;230,520;221,560;226,407
15:6;25,793;37,147;38,820;230,473;222,053;226,480
15:7;24,947;37,673;44,740;234,193;221,467;221,780
15:8;24,553;37,860;50,000;235,833;220,253;218,687
15:9;24,487;38,040;50,180;234,727;219,700;217,587
15:10;24,847;37,933;50,453;233,407;219,773;218,253
15:11;24,920;37,860;50,360;231,967;221,907;218,593
15:12;27,173;37,240;48,580;230,760;222,400;220,287
15:13;29,473;37,267;48,600;228,913;223,620;220,940
15:14;29,347;37,180;48,473;228,420;222,240;220,133
15:15;29,413;37,453;50,873;228,267;220,413;218,927
15:16;29,493;37,600;49,900;228,267;217,900;219,347
15:17;28,927;36,873;39,140;224,727;217,993;225,060
15:18;26,253;37,440;39,107;228,827;219,727;226,233
15:19;37,467;45,980;48,400;226,793;216,780;223,740
15:20;43,460;51,733;53,387;225,267;213,960;221,807
15:21;44,460;53,633;54,273;224,087;214,533;222,673
15:22;44,200;51,327;54,853;222,760;218,093;222,693
15:23;44,793;51,313;54,733;223,393;218,340;223,060
15:24;44,720;51,067;54,680;222,587;216,260;222,913
15:25;39,700;47,320;50,293;224,120;216,253;222,693
15:26;38,113;45,913;48,333;225,553;215,213;221,867
15:27;31,680;40,587;41,300;226,293;215,893;225,313
15:28;29,593;38,860;39,573;226,327;216,813;227,753
15:29;29,580;39,080;40,107;226,280;217,960;227,940
15:30;29,493;38,880;41,647;226,620;219,133;225,607
15:31;29,153;38,900;41,333;226,747;219,527;225,787
15:32;27,113;38,440;39,527;227,753;219,087;226,700
15:33;26,793;38,987;39,127;226,880;216,487;226,567
15:34;27,027;39,200;38,893;228,693;215,787;227,333
15:35;35,327;43,473;43,240;226,920;216,287;224,607
15:36;39,347;46,840;47,027;225,867;213,673;222,747
15:37;39,600;46,413;47,020;225,887;211,940;222,560
15:38;31,980;45,120;42,207;228,107;211,147;224,153
15:39;29,680;43,580;40,873;228,420;212,073;223,673
15:40;29,373;44,053;38,480;229,013;211,460;225,233
15:41;29,207;42,667;38,420;231,727;210,753;225,313
15:42;35,527;47,053;44,467;228,607;211,053;223,593
15:43;35,853;46,707;46,373;228,627;210,913;221,873
15:44;35,593;45,287;46,320;229,533;212,180;221,500
15:45;33,500;44,100;44,740;230,553;213,400;220,060
15:46;28,787;40,253;40,880;230,313;215,547;220,393
15:47;28,493;40,473;40,600;232,207;214,833;222,333
15:48;28,620;40,333;40,747;232,713;215,520;225,420
15:49;29,667;41,680;43,920;233,660;215,533;225,213
15:50;34,393;46,333;57,480;235,440;216,140;219,433
15:51;34,327;46,260;57,100;235,227;216,240;219,707
15:52;34,060;46,173;57,160;236,020;216,927;219,780
15:53;34,380;46,153;56,833;235,653;215,887;218,520
15:54;34,620;45,887;55,200;234,620;216,433;219,853
15:55;35,700;45,893;55,713;232,093;218,460;219,340
15:56;38,433;46,347;56,233;229,647;218,960;219,133
15:57;38,207;45,733;58,013;229,907;218,473;218,060
15:58;37,827;45,600;58,147;229,593;218,647;216,447
15:59;33,913;45,907;57,033;233,727;216,807;215,207
16:0;37,347;47,220;57,287;229,607;216,660;213,727
16:1;34,847;45,580;55,047;231,007;217,060;214,147
16:2;31,233;43,320;52,533;232,707;220,047;215,393
16:3;32,013;43,060;53,133;233,473;220,820;215,400
16:4;36,973;46,820;57,673;233,260;221,480;214,513
16:5;37,387;45,487;57,760;234,013;221,360;213,713
16:6;37,067;45,667;57,553;232,027;220,540;213,173
16:7;37,560;45,700;57,220;233,340;219,387;213,633
16:8;37,687;45,333;56,713;231,520;219,493;213,367
16:9;37,593;45,507;55,053;232,493;219,487;215,127
16:10;34,653;42,860;52,880;233,513;219,813;215,587
16:11;29,020;40,420;51,253;234,740;219,333;215,813
16:12;28,073;40,267;52,307;234,967;219,713;216,107
16:13;34,147;44,987;56,807;233,133;218,847;214,627
16:14;34,507;44,807;57,307;232,993;216,787;214,053
16:15;33,800;45,073;56,753;231,620;217,113;213,380
16:16;33,853;45,180;57,060;232,213;218,213;213,940
16:17;33,927;45,407;57,333;230,547;218,287;213,140
16:18;34,033;45,173;57,473;231,933;218,073;214,393
16:19;35,527;45,313;57,407;229,533;218,587;215,420
16:20;38,060;45,520;57,693;227,173;219,667;215,573
16:21;38,040;45,060;57,660;227,040;218,573;213,293
16:22;36,827;44,340;56,313;228,193;218,620;212,400
16:23;28,453;40,240;50,067;232,847;218,787;214,953
16:24;28,280;40,647;50,593;232,927;218,287;216,193
16:25;27,073;41,613;49,720;232,020;218,187;218,933
16:26;25,227;38,160;50,427;233,227;220,000;218,527
16:27;24,793;38,180;50,413;235,180;220,840;220,427
16:28;24,373;38,160;50,500;236,087;220,567;220,373
16:29;24,533;38,107;50,527;235,720;220,093;220,087
16:30;24,940;38,153;50,553;235,340;219,360;220,000
16:31;25,180;38,140;50,873;234,800;220,613;219,780
16:32;24,740;38,227;50,420;234,673;220,193;219,513
16:33;24,853;38,133;50,347;234,780;220,067;219,220
16:34;24,760;38,160;50,413;234,687;220,033;218,973
16:35;24,807;38,213;49,827;234,560;220,173;218,487
16:36;21,367;35,987;45,173;235,173;220,233;219,853
16:37;14,840;29,827;39,013;236,080;220,713;220,893
16:38;15,653;29,460;28,280;234,080;220,787;225,960
16:39;15,613;29,553;29,440;234,207;221,080;224,900
16:40;15,600;29,433;29,807;234,907;221,600;226,107
16:41;15,987;29,273;30,080;233,453;222,387;228,000
16:42;15,953;28,927;30,020;233,853;223,360;228,660
16:43;16,067;30,233;29,653;233,407;222,647;229,147
16:44;16,080;31,373;29,420;232,987;222,120;229,520
16:45;16,233;29,247;29,607;231,813;221,873;227,600
16:46;16,380;28,740;29,660;231,333;221,960;227,293
16:47;16,473;28,647;29,067;231,473;221,700;228,733
16:48;17,353;28,687;27,493;232,047;223,373;230,673
16:49;20,540;28,833;28,047;229,500;224,040;230,027
16:50;20,387;28,367;30,933;229,893;224,180;228,487
16:51;19,607;28,640;42,527;232,693;223,980;221,340
16:52;16,560;28,587;42,427;234,667;222,540;221,233
16:53;15,440;28,767;42,533;236,073;222,527;221,833
