Min;Data1;Data2;Data3;Data4;Data5;Data6
11:40;13,400;6,600;12,800;228,800;232,200;233,900
11:41;13,080;6,227;12,120;225,107;226,987;230,400
11:42;12,867;5,760;11,800;223,327;225,020;228,000
11:43;13,240;5,840;11,887;223,700;225,300;227,880
11:44;13,400;5,653;11,827;223,413;225,133;226,440
11:45;18,507;5,920;12,393;223,487;227,347;228,633
11:46;18,933;6,153;12,267;227,107;231,080;232,133
11:47;18,813;6,340;12,353;225,907;230,840;231,113
11:48;18,753;6,173;12,293;225,780;230,820;230,767
11:49;18,747;6,320;12,327;227,813;232,353;232,760
11:50;21,560;6,880;14,893;228,840;232,133;232,687
11:51;23,587;7,640;15,947;229,313;232,660;233,747
11:52;22,827;7,147;16,447;230,127;233,833;233,680
11:53;22,480;7,060;16,093;230,707;233,873;234,480
11:54;23,213;7,367;15,573;226,120;227,800;231,067
11:55;17,067;6,733;14,887;232,700;233,233;236,627
11:56;16,293;6,813;15,233;234,953;234,907;237,773
11:57;17,560;7,007;15,120;233,967;235,907;238,860
11:58;20,713;8,607;13,880;230,087;236,207;240,827
11:59;16,893;7,307;12,120;229,753;235,967;240,807
12:0;12,300;5,920;10,687;230,707;235,807;239,400
12:1;12,127;5,960;10,327;227,940;233,760;240,447
12:2;12,627;6,267;10,947;228,380;234,060;238,193
12:3;12,740;6,233;11,113;228,900;233,340;238,320
12:4;12,707;6,160;10,973;229,467;233,267;238,713
12:5;12,680;6,020;10,727;230,380;235,767;237,953
12:6;12,747;6,013;10,640;230,553;236,127;238,093
12:7;12,640;5,920;10,493;230,753;237,447;237,953
12:8;17,053;6,200;11,160;229,747;237,513;238,087
12:9;17,573;6,393;11,567;229,807;236,793;237,600
12:10;17,333;6,293;11,187;228,807;236,467;238,420
12:11;17,607;6,347;11,393;228,227;236,353;237,233
12:12;18,240;6,393;12,060;230,133;237,420;232,713
12:13;18,727;6,747;12,787;230,733;237,193;232,220
12:14;18,460;6,593;12,540;230,040;237,040;231,607
12:15;18,260;6,533;12,387;230,280;236,833;232,693
12:16;18,147;6,587;12,353;231,667;237,187;234,033
12:17;17,927;6,580;12,213;232,913;237,147;235,073
12:18;13,413;6,267;11,433;233,893;237,673;236,280
12:19;12,893;6,013;11,113;233,387;238,087;236,333
12:20;12,980;5,973;11,167;232,973;237,807;235,733
12:21;13,067;6,173;11,460;233,767;237,740;234,767
12:22;13,173;6,300;11,613;233,880;237,033;234,280
12:23;13,207;6,287;11,507;233,220;236,913;234,840
12:24;13,060;6,140;11,507;233,513;237,020;235,253
12:25;12,713;6,033;11,033;233,533;237,040;237,487
12:26;12,620;5,973;10,893;233,920;237,773;237,613
12:27;12,507;5,873;10,713;234,007;238,047;237,787
12:28;18,807;6,360;11,727;232,387;237,707;237,573
12:29;19,167;6,233;11,680;231,953;237,480;236,493
12:30;19,280;6,413;12,053;232,127;236,527;236,287
12:31;19,360;6,493;12,047;231,680;236,647;235,960
12:32;19,453;6,413;11,733;230,013;237,527;236,640
12:33;19,260;6,540;11,653;230,620;237,793;237,560
12:34;19,433;6,533;11,767;230,547;238,073;237,113
12:35;19,313;6,613;11,927;229,487;236,947;236,300
12:36;19,033;6,547;11,633;230,407;237,980;237,487
12:37;18,793;6,527;11,613;230,133;237,600;237,327
12:38;13,533;6,320;11,347;232,500;237,900;237,680
12:39;13,080;6,407;11,280;232,887;238,287;237,440
12:40;12,293;6,353;10,573;233,673;237,047;241,580
12:41;11,860;6,193;10,133;233,580;237,013;243,507
12:42;11,953;6,127;10,273;233,527;237,147;242,673
12:43;11,860;6,153;10,153;233,540;236,993;243,060
12:44;12,040;6,247;10,380;233,327;236,507;242,607
12:45;12,060;6,273;10,347;233,333;236,440;242,667
12:46;11,973;6,207;10,373;233,553;236,633;242,187
12:47;11,873;6,173;10,340;234,787;237,107;242,500
12:48;11,620;6,080;10,153;235,673;237,280;243,167
12:49;11,947;6,067;9,953;233,787;236,680;244,107
12:50;12,147;6,180;10,107;233,240;236,133;243,720
12:51;16,733;6,613;10,887;232,020;236,260;242,867
12:52;17,060;6,560;11,060;231,947;236,840;241,613
12:53;17,067;6,633;11,140;232,493;236,980;242,040
12:54;17,127;6,567;11,207;232,047;236,640;242,087
12:55;17,093;6,520;11,173;232,333;236,567;242,473
12:56;16,827;6,480;10,840;231,453;235,760;243,307
12:57;16,353;6,413;10,367;231,220;235,627;244,780
12:58;16,060;6,440;10,233;232,140;235,087;244,793
12:59;16,373;6,387;10,540;231,547;235,060;243,313
13:0;16,573;6,380;10,867;230,827;233,773;242,587
13:1;12,540;6,027;10,807;228,653;230,380;239,913
13:2;12,673;6,093;11,480;225,500;227,987;235,380
13:3;12,893;6,273;11,867;223,607;224,607;232,647
13:4;12,820;6,273;11,833;224,433;225,033;232,553
13:5;12,613;6,207;11,907;224,420;224,607;231,760
13:6;12,433;6,100;11,640;223,520;224,007;233,447
13:7;12,853;6,313;11,667;222,140;222,713;232,813
13:8;13,300;6,247;11,980;222,787;225,180;229,480
13:9;13,167;6,040;11,967;223,133;225,967;228,160
13:10;13,180;6,067;12,100;223,407;226,173;228,293
13:11;19,160;6,520;12,793;221,347;226,113;227,093
13:12;19,547;6,467;12,687;221,573;226,787;228,153
13:13;19,547;6,533;12,820;219,993;225,800;226,440
13:14;19,793;6,613;12,860;220,427;224,720;226,947
13:15;19,867;6,693;12,993;221,273;225,020;226,433
13:16;18,707;6,787;12,660;221,233;222,287;232,100
13:17;18,727;6,580;12,593;218,613;221,080;230,873
13:18;18,840;6,713;12,733;218,133;220,253;230,127
13:19;18,947;6,887;12,987;217,647;218,447;228,793
13:20;18,613;6,760;12,907;218,273;218,400;228,560
13:21;13,253;6,107;12,100;220,053;219,327;229,060
13:22;12,967;6,153;12,180;220,687;220,207;229,853
13:23;13,013;6,140;12,053;218,027;217,707;227,847
13:24;16,333;6,007;11,873;216,093;217,160;227,447
13:25;16,900;6,073;11,947;220,760;220,753;229,793
13:26;16,793;5,980;11,793;218,260;217,720;228,513
13:27;16,787;6,080;12,073;216,153;216,980;228,013
13:28;16,767;5,987;11,933;215,193;217,127;227,853
13:29;16,713;6,033;12,253;216,573;216,787;227,600
13:30;17,013;6,060;12,340;216,220;216,040;226,073
13:31;17,153;6,160;12,567;214,160;214,320;224,387
13:32;17,120;6,113;12,527;212,133;212,213;224,660
13:33;17,060;5,987;12,347;214,360;213,633;224,520
13:34;14,167;5,860;12,393;218,020;218,567;222,087
13:35;13,173;5,887;12,327;217,440;217,733;221,100
13:36;13,340;5,987;12,353;213,160;214,840;219,853
13:37;13,247;6,060;12,393;215,967;217,707;221,347
13:38;13,093;5,927;12,000;222,547;223,853;225,113
13:39;13,033;6,007;12,060;224,340;225,547;227,153
13:40;12,927;5,840;11,827;226,740;227,427;230,713
13:41;13,073;5,853;11,800;226,667;229,047;230,900
13:42;13,353;5,973;11,967;227,053;227,973;230,807
13:43;13,660;6,027;12,033;227,440;229,460;230,407
13:44;15,767;6,000;11,853;226,393;229,093;231,407
13:45;17,453;6,007;11,920;228,493;231,707;231,967
13:46;17,467;6,047;12,020;227,313;230,933;231,413
13:47;17,413;6,073;11,813;226,540;230,927;231,713
13:48;17,340;6,093;11,700;226,907;231,700;232,453
13:49;17,247;6,020;11,560;227,660;232,313;233,367
13:50;17,120;5,920;11,340;227,947;231,900;233,960
13:51;17,227;5,907;11,527;228,007;232,147;233,933
13:52;17,500;5,960;11,920;227,893;232,260;232,947
13:53;17,467;5,980;11,840;227,973;232,653;232,627
13:54;15,500;6,080;11,913;229,740;232,767;232,100
13:55;13,107;6,140;11,760;231,053;233,233;233,367
13:56;13,033;6,140;11,433;230,213;233,280;235,467
13:57;12,940;6,240;11,420;230,007;233,387;235,847
13:58;12,933;6,173;11,520;230,620;233,147;234,980
13:59;13,173;6,187;11,720;231,613;234,007;233,780
14:0;13,193;6,220;11,753;231,700;234,213;233,540
14:1;13,073;6,100;11,580;230,473;234,180;234,280
14:2;12,980;6,093;11,680;231,800;234,007;233,773
14:3;13,233;6,233;11,967;229,380;231,347;230,760
14:4;13,347;6,167;11,993;229,587;231,800;231,020
14:5;13,047;6,140;11,540;228,440;231,647;234,000
14:6;12,920;6,187;11,460;229,313;232,580;235,907
14:7;15,160;6,193;11,613;230,060;232,560;235,160
14:8;17,240;6,207;11,720;229,293;232,540;234,593
14:9;17,227;6,220;11,673;228,493;232,520;234,713
14:10;17,173;6,140;11,640;228,193;232,207;234,660
14:11;17,347;6,207;12,020;229,380;232,087;232,540
14:12;17,160;6,313;12,053;229,887;230,187;234,693
14:13;16,580;6,353;11,740;230,847;230,113;237,427
14:14;16,680;6,360;12,040;226,980;225,927;234,360
14:15;17,000;6,393;12,447;224,093;221,793;230,107
14:16;16,793;6,313;12,240;223,447;220,553;230,793
14:17;14,993;6,140;11,973;222,360;221,400;230,680
14:18;12,673;6,173;11,987;223,440;222,320;231,873
14:19;12,647;6,133;12,007;225,680;223,853;232,553
14:20;12,553;6,073;11,773;224,207;222,900;231,187
14:21;12,613;6,193;11,987;223,327;221,187;231,047
14:22;12,807;6,187;12,013;220,833;220,073;230,173
14:23;12,967;6,080;11,980;224,133;222,613;230,140
14:24;12,807;6,013;11,960;226,053;223,567;230,707
14:25;13,207;6,073;12,160;226,207;224,880;230,160
14:26;13,733;6,087;12,433;221,193;223,180;225,760
14:27;14,853;6,140;12,567;219,787;223,373;224,493
14:28;20,107;6,493;14,693;220,907;223,800;224,073
14:29;22,787;6,807;16,693;220,773;223,873;223,153
14:30;22,393;6,740;15,513;220,800;223,927;224,247
14:31;22,773;7,213;14,907;218,053;222,127;224,407
14:32;22,753;6,993;15,553;219,047;221,533;222,733
14:33;22,853;7,033;15,860;218,667;220,640;221,927
14:34;22,773;6,900;15,593;220,887;223,407;223,967
14:35;24,527;8,527;15,593;215,493;218,040;222,273
14:36;33,373;17,253;20,613;212,827;217,647;223,733
14:37;32,347;16,847;21,300;217,800;220,300;226,340
14:38;28,800;16,740;21,387;216,547;218,253;224,693
14:39;28,500;16,633;20,920;217,373;219,227;226,207
14:40;29,440;16,713;21,693;218,613;220,000;224,307
14:41;28,807;16,687;20,900;215,400;217,473;222,893
14:42;29,207;17,333;21,333;216,307;218,367;224,547
14:43;30,373;16,987;22,987;225,460;227,080;232,267
14:44;30,767;16,273;25,473;230,380;231,007;233,053
14:45;31,727;16,927;24,593;230,200;230,233;235,480
14:46;32,487;16,193;20,120;227,573;228,880;237,347
14:47;32,773;16,760;19,993;227,733;228,453;237,847
14:48;32,413;16,693;19,553;227,400;228,653;238,393
14:49;32,607;16,767;19,653;227,233;228,540;238,507
14:50;31,920;16,427;19,020;227,920;229,627;239,900
14:51;32,113;17,000;18,947;228,320;230,020;240,793
14:52;32,493;17,087;19,613;230,033;230,247;240,447
14:53;32,907;16,693;19,560;230,500;229,920;240,020
14:54;32,533;16,820;19,433;228,353;228,973;239,060
14:55;33,353;16,487;20,427;228,467;230,640;236,773
14:56;28,673;14,887;21,987;229,560;231,560;233,447
14:57;28,447;14,420;22,833;231,327;232,153;232,687
14:58;28,293;14,693;22,793;231,247;231,913;233,380
14:59;28,900;15,540;22,793;228,653;230,860;233,407
15:0;24,307;13,640;19,680;227,213;229,753;232,507
15:1;23,427;13,147;19,520;225,740;227,313;228,960
15:2;23,040;12,713;19,333;213,813;214,893;218,080
15:3;23,367;13,273;19,233;212,687;214,267;218,787
15:4;23,487;13,373;19,300;213,033;214,607;218,933
15:5;24,087;13,787;20,073;215,087;215,833;218,673
15:6;18,013;9,413;15,873;216,693;217,720;219,727
15:7;14,827;6,600;13,153;216,033;218,147;220,760
15:8;13,453;6,313;12,500;216,747;220,153;223,473
15:9;13,253;6,153;12,393;218,660;220,720;223,087
15:10;13,493;6,853;12,860;213,847;213,060;221,880
15:11;20,953;11,740;17,913;206,360;206,080;216,740
15:12;13,580;6,233;12,560;207,160;208,320;218,747
15:13;13,093;6,093;12,233;214,573;214,860;224,060
15:14;12,867;6,220;11,967;221,167;221,093;228,987
15:15;12,953;6,100;11,913;223,940;223,660;231,093
15:16;12,727;6,000;11,660;223,193;224,273;232,327
15:17;12,900;6,060;11,593;224,307;225,607;233,920
15:18;12,967;6,113;11,907;222,613;222,967;230,487
15:19;12,773;6,073;11,947;222,353;222,687;229,800
15:20;12,847;6,247;11,967;222,567;222,960;230,247
15:21;12,680;6,267;12,027;221,460;222,800;230,587
