Min;Data1;Data2;Data3;Data4;Data5;Data6
16:33;13,000;5,646;11,808;219,692;206,300;175,223
16:34;13,040;5,567;11,713;219,927;222,753;226,380
16:35;12,920;5,413;11,600;219,660;222,680;225,333
16:36;13,127;5,500;11,793;219,333;222,807;224,447
16:37;13,120;5,540;11,880;218,880;222,340;224,447
16:38;12,980;5,593;11,733;218,753;222,480;225,367
16:39;12,980;5,627;11,827;219,847;222,873;225,613
16:40;12,973;5,553;11,713;220,460;224,040;226,533
16:41;13,107;5,540;11,613;220,440;225,500;227,520
16:42;13,187;5,833;11,900;218,240;222,467;225,693
16:43;13,100;5,867;11,973;219,960;223,000;227,073
16:44;13,180;5,627;11,867;219,887;223,567;226,727
16:45;13,260;5,567;12,007;220,413;223,720;225,233
16:46;13,160;5,667;11,900;220,033;223,947;224,273
16:47;13,093;5,773;11,800;221,773;225,233;226,720
16:48;13,033;5,793;11,780;222,747;226,093;228,707
16:49;13,073;5,800;11,807;223,147;225,907;228,707
16:50;12,927;5,700;11,633;222,793;226,080;229,760
16:51;12,927;5,760;11,813;223,207;225,767;229,960
16:52;12,980;5,820;11,807;223,020;226,393;229,460
16:53;13,120;5,900;11,933;222,680;226,293;228,527
16:54;13,000;5,907;11,880;223,513;226,300;228,760
16:55;13,127;5,940;11,860;223,260;226,467;228,700
16:56;13,227;5,993;11,760;227,220;231,487;231,100
16:57;13,087;6,053;11,747;228,820;232,853;232,433
16:58;13,233;6,073;11,813;229,567;232,887;232,573
16:59;13,160;6,033;11,727;229,120;232,593;232,447
17:0;13,140;5,907;11,687;229,240;233,340;232,673
17:1;13,213;5,900;11,873;229,547;233,000;232,293
17:2;13,260;6,080;11,967;229,833;233,680;232,960
17:3;13,200;6,247;11,747;230,993;235,647;234,693
17:4;13,333;6,280;11,840;231,200;235,873;234,393
17:5;13,367;6,300;11,960;231,960;235,267;234,140
17:6;13,093;6,187;11,847;233,080;234,440;234,700
17:7;12,940;6,020;11,413;232,667;234,760;234,933
17:8;12,820;6,093;11,613;232,807;233,620;234,893
17:9;13,100;6,287;11,680;232,047;233,640;235,233
17:10;13,287;6,527;11,813;232,187;233,220;235,673
17:11;13,360;6,400;11,627;231,553;234,227;236,087
17:12;13,340;6,340;11,547;231,493;234,427;236,420
17:13;13,093;6,273;11,260;231,220;234,447;237,480
17:14;12,767;6,087;10,980;230,707;233,867;238,947
17:15;13,007;6,160;11,060;229,340;234,313;238,240
17:16;13,047;6,293;11,167;229,507;233,433;238,247
