Min;Data1;Data2;Data3;Data4;Data5;Data6
0:0;11,473;5,627;9,733;234,527;235,567;245,520
0:1;11,420;5,760;10,067;236,333;235,327;244,340
0:2;11,820;6,007;10,453;235,927;234,953;243,260
0:3;12,173;6,187;10,440;234,527;234,980;243,907
0:4;12,320;6,320;10,260;233,987;235,120;244,393
0:5;12,487;6,407;10,693;235,240;235,113;243,900
0:6;12,333;6,300;10,633;235,267;235,007;243,820
0:7;12,280;6,167;10,527;234,413;235,020;243,707
0:8;11,933;6,020;10,187;234,667;235,673;244,093
0:9;11,953;6,060;10,300;235,167;237,247;243,653
0:10;12,107;6,253;10,193;235,193;237,480;244,967
0:11;11,993;5,953;10,087;234,860;237,613;244,300
0:12;12,020;5,907;10,073;233,827;237,367;244,173
0:13;12,127;5,980;10,193;235,227;238,353;243,387
0:14;11,933;5,960;10,120;235,813;238,133;243,900
0:15;11,660;5,900;9,853;235,953;238,153;245,520
0:16;11,727;5,913;9,720;234,880;238,193;246,060
0:17;12,440;6,133;10,247;235,293;238,867;244,520
0:18;12,673;6,273;10,640;235,300;237,993;243,660
0:19;12,393;6,327;10,573;235,387;237,307;244,413
0:20;12,240;6,180;10,247;234,493;237,547;245,087
0:21;12,373;6,247;10,533;235,213;238,600;244,633
0:22;12,200;6,193;10,467;236,087;239,047;243,080
0:23;12,007;6,047;10,393;236,147;238,280;242,433
0:24;12,273;6,047;10,513;234,813;237,600;242,500
0:25;12,000;6,007;10,107;234,860;237,440;244,500
0:26;11,940;6,140;10,147;235,880;237,693;243,693
0:27;11,840;6,187;10,087;235,693;237,313;244,827
0:28;11,987;6,080;10,300;234,560;236,647;244,127
0:29;12,067;5,987;10,300;233,220;236,533;244,433
0:30;12,120;5,880;10,467;234,800;237,113;242,840
0:31;12,087;5,920;10,573;235,120;237,633;242,927
0:32;12,447;5,973;10,860;235,707;237,727;243,147
0:33;12,787;6,013;10,933;234,100;237,387;243,387
0:34;12,760;6,113;11,073;235,560;237,460;243,253
0:35;12,713;6,187;11,107;235,720;237,327;242,373
0:36;12,487;6,313;10,820;235,187;237,320;243,200
0:37;12,413;6,127;10,560;233,520;237,160;243,200
0:38;11,920;5,933;10,093;233,687;237,813;243,880
0:39;11,880;6,007;9,980;235,240;239,293;244,500
0:40;11,793;6,100;10,087;235,720;238,640;244,553
0:41;11,907;5,907;9,947;234,987;238,440;244,793
0:42;12,093;6,040;9,980;234,613;238,347;244,900
0:43;12,227;6,120;10,307;236,287;238,660;243,753
0:44;12,413;6,033;10,600;236,273;239,027;242,167
0:45;12,627;6,220;10,667;236,847;238,907;242,033
0:46;12,380;6,180;10,493;235,593;238,280;243,553
0:47;12,593;6,453;10,793;236,047;237,960;243,640
0:48;12,880;6,593;11,100;235,920;237,833;242,960
0:49;12,480;6,420;10,847;236,233;237,520;244,340
0:50;12,187;6,387;10,567;235,993;237,213;245,060
0:51;12,220;6,353;10,333;234,760;237,273;246,000
0:52;12,140;6,220;10,347;235,940;238,400;244,940
0:53;11,787;6,033;10,007;235,827;238,313;245,373
0:54;11,927;6,173;9,940;236,833;238,493;245,793
0:55;12,133;6,233;10,113;236,920;238,760;245,633
0:56;12,093;6,200;10,067;236,313;238,787;245,933
0:57;11,727;6,133;10,067;237,707;239,480;245,880
0:58;12,687;6,360;10,747;237,933;239,280;246,620
0:59;12,207;6,327;10,373;236,913;238,373;244,900
1:0;12,220;6,253;10,233;235,913;237,747;245,073
1:1;12,060;6,287;10,107;236,247;237,700;245,460
1:2;12,033;6,413;10,240;237,240;237,080;245,687
1:3;12,287;6,500;10,287;236,867;237,360;245,600
1:4;12,187;6,407;10,207;235,860;236,960;245,413
1:5;12,373;6,527;10,140;234,747;236,780;245,453
1:6;12,413;6,547;10,293;235,673;236,873;244,687
1:7;12,207;6,380;10,160;237,473;238,640;244,027
1:8;12,040;6,367;9,920;238,173;238,440;244,053
1:9;11,813;6,213;9,680;237,667;239,187;245,053
1:10;11,547;6,133;9,413;236,967;238,660;246,380
1:11;11,313;6,020;9,127;236,320;238,900;247,427
1:12;11,467;6,160;9,407;237,653;239,133;246,600
1:13;11,633;6,160;9,433;237,773;240,200;247,167
1:14;11,640;6,120;9,500;237,853;240,820;247,453
1:15;11,487;6,220;9,267;238,453;241,800;247,953
1:16;11,547;6,193;9,133;237,180;241,220;248,480
1:17;11,967;6,220;9,867;238,180;241,267;245,740
1:18;12,420;6,207;10,280;237,733;240,820;244,247
1:19;12,440;6,287;10,313;237,913;240,633;245,160
1:20;12,393;6,380;10,147;238,200;240,793;246,727
1:21;12,400;6,240;9,947;236,280;240,573;247,440
1:22;12,140;6,167;9,980;237,047;240,860;246,400
1:23;11,780;6,153;9,940;238,280;241,047;245,713
1:24;11,740;6,153;9,960;238,260;241,213;245,653
1:25;11,713;6,220;9,893;238,133;241,260;245,760
1:26;12,107;6,113;9,953;237,007;240,927;244,713
1:27;12,060;6,000;9,753;236,213;239,907;245,953
1:28;12,200;6,060;10,213;237,727;239,253;245,093
1:29;11,993;6,207;10,253;238,267;237,280;245,067
1:30;12,273;6,087;10,240;237,847;239,060;244,327
1:31;12,027;6,020;9,940;237,467;239,673;245,480
1:32;11,953;6,067;9,620;236,707;239,720;247,367
1:33;12,233;6,313;9,880;237,147;240,413;248,293
1:34;12,127;6,360;9,680;238,340;241,653;248,507
1:35;12,167;6,360;9,513;238,440;241,753;248,140
1:36;12,213;6,067;9,460;238,047;241,860;248,213
1:37;12,087;6,073;9,473;237,487;241,693;247,473
1:38;11,740;5,853;9,053;235,833;241,220;247,627
1:39;11,847;5,853;9,360;237,333;242,487;245,987
1:40;11,880;5,967;9,573;238,000;242,620;246,960
1:41;11,733;6,020;9,653;238,873;242,800;246,773
1:42;11,547;5,913;9,407;238,913;242,247;248,193
1:43;11,553;5,873;9,300;238,387;242,347;247,447
1:44;11,620;5,860;9,027;237,180;241,640;248,540
1:45;12,020;5,933;9,380;239,053;242,733;248,033
1:46;11,980;5,973;9,387;239,500;243,067;248,200
1:47;12,267;6,040;9,493;239,027;242,840;248,467
1:48;12,660;6,260;9,807;238,780;241,973;248,400
1:49;12,820;6,373;10,073;238,267;240,807;247,387
1:50;12,560;6,253;10,093;237,920;239,400;247,047
1:51;12,467;6,160;10,213;239,113;240,527;245,953
1:52;11,953;5,987;9,880;239,820;240,240;246,000
1:53;11,347;5,853;9,387;240,027;239,860;246,793
1:54;11,380;5,787;9,393;239,760;239,933;247,247
1:55;11,333;5,800;9,353;239,547;239,420;248,007
1:56;11,320;5,707;8,993;238,687;240,093;248,140
1:57;11,140;5,560;8,840;239,767;240,327;247,753
1:58;11,367;5,540;9,033;240,553;240,793;247,613
1:59;11,700;5,800;9,267;239,520;241,800;248,127
2:0;12,133;5,853;9,400;238,300;242,340;246,840
2:1;12,053;5,827;9,367;238,853;242,507;245,967
2:2;12,373;5,967;9,613;238,453;242,007;246,353
2:3;12,560;6,107;9,613;237,053;241,107;247,760
2:4;12,667;6,180;9,980;236,887;240,607;246,387
2:5;12,440;6,280;10,093;236,940;239,867;245,987
2:6;12,307;6,093;9,820;237,573;240,380;245,640
2:7;12,140;5,800;9,573;237,420;240,580;245,087
2:8;11,980;5,573;9,253;237,220;240,887;245,360
2:9;11,960;5,440;8,980;236,147;240,387;245,833
2:10;11,907;5,593;8,953;236,287;239,773;246,287
2:11;12,347;5,973;9,560;236,560;239,600;245,653
2:12;12,680;6,160;9,853;237,287;239,560;245,307
2:13;12,633;6,233;9,680;238,547;241,007;246,240
2:14;12,300;6,087;9,427;238,793;241,813;247,767
2:15;11,787;5,773;9,160;238,800;241,787;247,787
2:16;11,933;5,793;9,073;236,813;240,800;248,513
2:17;12,400;5,933;9,567;238,253;240,947;247,007
2:18;12,727;6,253;9,960;238,047;241,173;246,360
2:19;12,913;6,300;10,147;237,767;240,953;246,320
2:20;13,187;6,460;10,267;237,853;240,807;246,207
2:21;13,073;6,387;10,107;237,433;241,107;246,973
2:22;12,700;6,233;9,933;237,987;241,180;247,393
2:23;12,253;6,047;9,320;236,787;240,987;248,693
2:24;11,973;5,967;9,287;238,320;241,360;248,440
2:25;11,833;5,887;9,040;238,240;241,747;248,647
2:26;11,927;5,833;9,187;238,547;241,793;248,100
2:27;12,340;5,887;9,627;238,533;241,627;246,767
2:28;12,507;5,993;9,960;238,400;241,433;246,407
2:29;12,733;5,973;10,140;237,840;241,520;245,767
2:30;12,853;5,987;10,047;236,493;240,727;246,147
2:31;12,653;5,953;10,147;238,220;241,040;245,413
2:32;12,933;6,040;10,360;237,913;240,480;245,533
2:33;13,360;6,167;10,780;237,347;240,460;245,213
2:34;13,173;6,060;10,733;237,447;240,500;244,953
2:35;12,913;6,000;10,547;237,867;240,607;246,413
2:36;12,847;6,033;10,313;238,060;240,987;247,913
2:37;12,587;6,060;9,667;236,607;240,727;248,693
2:38;12,633;6,020;9,967;238,400;242,073;246,693
2:39;12,713;6,127;10,153;238,380;241,533;246,760
2:40;12,833;6,267;10,207;238,320;241,073;246,953
2:41;12,760;6,200;10,127;238,167;241,027;247,100
2:42;12,560;6,087;10,053;237,007;240,647;246,087
2:43;12,287;6,100;9,820;238,533;241,053;246,853
2:44;11,973;5,880;9,380;237,653;240,480;248,187
2:45;12,020;5,847;9,420;238,240;241,080;246,747
2:46;12,313;5,927;9,653;237,953;241,380;246,533
2:47;12,393;5,993;9,753;238,100;241,307;247,200
2:48;12,453;6,247;10,040;238,953;240,693;247,320
2:49;12,753;6,240;10,247;238,907;241,040;247,060
2:50;12,493;6,300;10,113;239,300;241,120;246,787
2:51;12,520;6,260;10,047;238,940;241,127;247,367
2:52;12,420;6,213;10,047;238,907;241,047;247,633
2:53;12,313;6,073;10,113;238,807;240,167;246,380
2:54;12,253;5,953;10,000;238,240;239,593;245,607
2:55;12,247;5,960;10,000;238,280;239,793;245,387
2:56;11,893;5,887;9,693;238,220;239,453;247,020
2:57;11,953;6,033;9,767;238,240;239,480;247,653
2:58;12,053;5,993;9,820;237,353;238,567;246,647
2:59;12,347;5,973;9,793;235,047;238,473;246,033
3:0;12,147;5,893;9,727;236,667;238,633;245,460
3:1;12,253;5,893;9,853;236,660;238,473;244,793
3:2;12,607;6,113;10,180;236,353;238,227;244,800
3:3;13,153;6,307;10,600;236,267;238,947;244,847
3:4;13,060;6,313;10,613;236,727;239,087;245,047
3:5;12,900;6,287;10,433;237,013;238,993;245,473
3:6;12,827;6,247;10,373;236,480;238,900;245,060
3:7;12,513;6,100;9,987;235,340;238,807;245,173
3:8;12,573;6,060;10,247;236,333;239,307;244,360
3:9;12,493;6,033;10,267;236,467;238,780;244,560
3:10;12,600;6,067;10,367;236,153;238,533;244,367
3:11;12,567;6,080;10,327;236,267;238,760;244,173
3:12;12,613;5,960;10,320;235,673;238,820;243,787
3:13;12,667;6,087;10,573;236,000;238,340;243,493
3:14;12,633;5,993;10,433;235,413;238,340;243,767
3:15;12,647;6,087;10,593;235,347;237,540;243,380
3:16;12,793;6,187;10,647;236,440;239,260;242,833
3:17;12,967;6,447;10,947;236,893;238,827;243,307
3:18;13,180;6,507;11,000;236,700;238,760;244,480
3:19;13,053;6,487;10,780;236,420;238,560;245,660
3:20;13,213;6,513;10,973;236,413;238,947;245,600
3:21;13,233;6,653;11,173;236,600;238,580;245,100
3:22;12,800;6,473;10,747;235,940;238,620;245,720
3:23;12,327;6,327;10,273;236,333;238,747;245,513
3:24;12,547;6,307;10,487;237,353;239,427;244,687
3:25;12,493;6,253;10,507;237,427;239,120;245,240
3:26;12,407;6,280;10,367;236,780;238,660;245,853
3:27;12,247;6,253;10,253;236,687;237,993;245,787
3:28;12,453;6,140;10,400;236,993;238,747;244,887
3:29;12,887;6,067;10,720;236,520;239,213;243,253
3:30;12,680;6,013;10,340;235,900;238,500;245,227
3:31;12,760;6,147;10,253;234,947;237,867;246,067
3:32;12,967;6,260;10,480;236,020;238,360;245,173
3:33;13,207;6,400;10,707;236,300;238,133;245,040
3:34;12,940;6,440;10,720;236,747;238,460;245,513
3:35;13,053;6,320;10,767;236,600;238,420;244,327
3:36;13,007;6,347;10,707;236,367;238,660;244,487
3:37;12,793;6,260;10,333;235,460;238,627;244,900
3:38;12,300;5,973;9,873;235,447;238,427;244,780
3:39;12,400;5,927;9,887;234,847;238,207;244,587
