Min;Data1;Data2;Data3;Data4;Data5;Data6
16:3;43,720;30,520;37,380;215,040;177,260;89,020
16:4;43,780;29,360;35,787;215,287;211,973;222,247
16:5;43,887;29,107;36,040;215,873;212,967;222,633
16:6;43,593;28,893;33,980;215,433;213,267;222,940
16:7;43,673;29,327;33,200;217,967;216,487;226,093
16:8;44,233;29,267;32,633;218,660;217,053;227,620
16:9;48,360;29,347;30,393;216,220;215,607;227,793
16:10;44,613;31,540;30,607;215,533;212,347;224,147
16:11;43,833;33,833;30,967;217,480;213,153;224,987
16:12;43,800;36,253;35,993;218,160;213,267;224,000
16:13;43,967;34,980;40,653;216,493;213,947;221,887
16:14;44,040;34,087;42,360;216,080;214,047;220,907
16:15;44,247;33,720;45,827;216,580;214,667;219,453
16:16;46,073;33,733;45,960;216,193;215,087;219,693
16:17;45,013;34,360;45,073;215,840;213,207;218,940
16:18;43,887;33,707;44,133;218,220;215,573;220,393
16:19;43,633;34,080;44,340;223,773;221,333;225,180
16:20;43,953;34,220;45,007;223,480;221,393;225,073
16:21;44,360;34,760;43,793;221,040;218,987;224,780
16:22;44,067;34,627;42,680;226,000;224,033;229,727
16:23;48,340;36,633;41,927;225,473;223,593;230,720
16:24;45,673;35,120;44,273;226,167;224,760;228,633
16:25;44,607;35,773;45,433;226,287;225,400;227,760
16:26;54,133;45,347;58,007;225,027;223,487;226,293
16:27;53,893;47,520;60,993;225,547;223,113;226,080
16:28;53,753;44,327;56,100;225,220;223,273;227,560
16:29;53,680;44,147;55,633;225,493;223,507;227,800
16:30;53,767;44,407;55,740;225,500;223,720;227,620
16:31;64,300;55,133;67,613;224,053;221,800;226,533
16:32;65,047;52,493;68,407;224,247;224,300;227,220
16:33;65,053;52,607;70,233;223,940;223,847;225,860
16:34;65,040;52,080;68,007;223,760;224,120;225,820
16:35;64,893;51,873;67,140;223,460;224,000;226,147
16:36;65,913;52,293;65,393;223,387;224,680;227,780
16:37;65,840;51,960;65,173;223,567;225,607;229,473
16:38;66,447;52,167;65,127;223,540;225,033;229,613
16:39;65,467;52,760;66,753;225,273;227,180;230,007
16:40;65,153;53,013;68,160;226,087;227,047;229,400
16:41;65,227;53,567;68,393;226,120;226,673;229,300
16:42;63,187;51,373;67,673;226,867;228,140;229,720
16:43;55,280;42,487;58,340;229,320;231,840;232,540
16:44;49,580;32,200;49,313;230,907;234,200;234,820
16:45;46,627;32,973;49,667;232,953;233,733;235,100
16:46;44,947;31,847;48,100;233,067;233,960;236,067
16:47;44,920;31,060;45,133;232,880;234,520;236,673
16:48;45,013;31,107;44,700;232,840;234,887;236,767
16:49;48,927;36,880;49,567;231,533;234,347;236,040
16:50;59,367;45,000;56,620;228,347;232,527;236,267
16:51;59,653;45,000;57,220;229,573;232,920;235,333
16:52;59,387;44,387;59,413;229,293;232,393;234,393
16:53;60,780;44,800;59,093;229,040;233,080;234,733
16:54;59,313;44,767;59,340;229,780;233,247;235,047
16:55;59,160;44,520;60,500;229,973;232,640;234,400
16:56;59,527;44,580;61,820;230,267;232,653;233,960
16:57;60,433;44,553;61,687;229,793;232,940;234,173
16:58;60,787;44,127;57,513;229,367;232,960;235,913
16:59;60,773;43,887;56,060;229,367;232,440;236,567
17:0;60,800;43,747;55,760;229,167;232,573;236,467
17:1;59,993;43,960;56,460;229,587;232,287;236,627
17:2;56,140;44,047;56,793;231,087;232,920;235,667
17:3;54,393;39,760;52,520;230,493;233,040;236,980
17:4;54,240;37,573;52,180;230,333;232,867;237,147
17:5;50,253;33,133;48,253;231,247;233,753;237,120
17:6;51,393;33,900;49,293;231,333;234,360;236,620
17:7;56,000;38,267;55,647;230,687;233,593;235,340
17:8;53,793;35,393;53,487;230,920;233,900;236,047
17:9;50,187;30,760;50,040;231,060;234,627;235,907
17:10;47,633;29,753;43,553;231,380;234,173;236,973
17:11;44,100;26,000;37,480;232,053;235,040;238,213
17:12;42,533;26,067;37,547;232,700;234,780;238,673
17:13;41,593;21,173;30,960;231,980;235,500;239,820
17:14;40,393;21,553;31,073;232,927;235,193;240,173
17:15;39,653;20,933;31,200;233,173;236,247;239,467
17:16;38,007;20,847;32,973;233,600;236,520;238,300
17:17;38,120;20,773;33,060;233,327;236,507;238,773
17:18;38,133;20,827;35,907;233,353;236,713;237,507
17:19;38,920;21,307;36,153;233,853;236,800;237,440
